race_id,umaban,horse,jockey,weight,odds,score
202605020404,11,シーサンタナ,嶋田,420(+2),46.0,0.02127659574468085
202605020404,12,ブルージンジャー,高杉,464(0),53.1,0.018484288354898334
202605020404,13,ビップマリク,吉田豊,478(0),94.9,0.010427528675703858
202605020404,14,ミアエッテ,岩田康,484(+8),125.3,0.007917656373713382
202605020404,15,ベストバラディア,木幡巧,398(-8),134.7,0.007369196757553428
202605020404,16,アドマイヤフク,ディー,428(+4),280.9,0.0035473572188719407
202605020404,17,ケイツースクード,西塚,412(-4),303.4,0.00328515111695138
202605020404,18,レヴェランジェ,佐々木,470(+18),467.6,0.0021340162185232605
202605020405,1,馬名,騎手,"馬体重
(増減)",3.9,0.2040816326530612
202605020405,2,オメガディコン,岩田康,530(-4),4.3,0.18867924528301888
202605020405,3,イルミナジーティー,佐々木,438(-2),5.1,0.1639344262295082
202605020405,4,マジックオーラ,△長浜,428(-4),7.0,0.125
202605020405,5,トランスマーレ,横山武,450(0),7.3,0.12048192771084336
202605020405,6,ラヴィニアパーク,高杉,478(+4),10.5,0.08695652173913043
202605020405,7,ユマハム,三浦,464(+2),11.4,0.08064516129032258
202605020405,8,ルミナスレイナ,吉田豊,468(0),24.9,0.03861003861003861
202605020405,9,ブルースパーダ,原,484(-2),35.7,0.02724795640326975
202605020405,10,ラインクインビー,木幡巧,436(+4),62.8,0.015673981191222573
202605020405,16,キョンチャン,江田照,454(+2),72.2,0.01366120218579235
202605020405,11,オープンザパンドラ,ディー,458(+8),87.4,0.011312217194570135
202605020405,12,アラムベイ,荻野極,422(-18),176.5,0.005633802816901409
202605020405,13,キタノタイキ,▲佐藤,436(-2),240.1,0.00414765657403567
202605020405,14,ブライスフェアリー,松岡,416(+2),267.6,0.003723008190618019
202605020405,15,サトノリアファル,北村宏,524(-4),320.8,0.0031075201988812924
202605020406,1,馬名,騎手,"馬体重
(増減)",1.9,0.3448275862068966
202605020406,2,スーパーガール,▲佐藤,490(-2),5.2,0.16129032258064516
202605020406,3,ワンモメンタム,高杉,496(-2),8.3,0.1075268817204301
202605020406,4,アースインハマー,北村宏,506(+2),9.7,0.09345794392523366
202605020406,5,ムーランオランジュ,小崎,486(-6),13.5,0.06896551724137931
202605020406,6,ピュール,木幡巧,406(-6),20.6,0.046296296296296294
202605020406,7,タイセイブルーム,△長浜,490(0),23.6,0.04065040650406504
202605020406,8,リフレックス,三浦,474(+2),23.8,0.04032258064516129
202605020406,17,アグネスクレスト,石橋脩,500(+4),29.4,0.03289473684210526
202605020406,9,トヨサカエ,吉田豊,470(0),48.1,0.020366598778004074
202605020406,10,グラティアム,横山武,472(+4),51.1,0.019193857965451054
202605020406,11,ユキノグラス,佐々木,460(+10),55.3,0.017761989342806397
202605020406,12,ベルゼビュート,荻野極,472(-4),70.7,0.01394700139470014
202605020406,13,ゴディアンフィンチ,横山和,522(-12),71.9,0.013717421124828532
202605020406,14,パータリプトラ,岩田康,468(-4),89.2,0.011086474501108647
202605020406,15,フルミネブル,ディー,492(-4),119.3,0.00831255195344971
202605020406,16,チームユートピア,田辺,460(0),301.6,0.0033046926635822865
202605020407,1,馬名,騎手,"馬体重
(増減)",3.4,0.22727272727272727
202605020407,2,リーゼントジェイド,松岡,476(0),4.5,0.18181818181818182
202605020407,3,スマートブル,木幡初,504(+10),5.4,0.15625
202605020407,4,ディープキング,西塚,476(-10),6.5,0.13333333333333333
202605020407,5,レッドルイナール,▲佐藤,468(-6),7.5,0.11764705882352941
202605020407,6,カンレイスキー,江田照,482(-16),17.0,0.05555555555555555
202605020407,7,カルフ,原,480(+4),17.6,0.05376344086021505
202605020407,8,スクレイピング,岩田康,494(-14),18.0,0.05263157894736842
202605020407,9,ヴォラーレ,木幡育,418(-6),27.2,0.03546099290780142
202605020407,10,コーシューパンジャ,△長浜,506(0),53.9,0.018214936247723135
202605020407,16,ライズトゥザトップ,木幡巧,502(+2),57.6,0.017064846416382253
202605020407,11,レッドベルダンス,嶋田,480(0),59.1,0.016638935108153077
202605020407,12,マテンロウノカゼ,横山典,484(0),68.0,0.014492753623188406
202605020407,13,ミスティマウンテン,荻野極,456(+2),116.3,0.008525149190110827
202605020407,14,ボーヌロマネ,北村宏,466(0),223.6,0.004452359750667854
202605020407,15,ビービーバザーク,浜中,484(+2),399.4,0.0024975024975024975
202605020408,1,馬名,騎手,"馬体重
(増減)",2.8,0.2631578947368421
202605020408,2,アージェント,木幡巧,532(-30),4.1,0.19607843137254904
202605020408,3,コムユンプリュム,佐々木,428(-4),5.0,0.16666666666666666
202605020408,4,ウィンターベル,ディー,494(0),5.3,0.15873015873015872
202605020408,5,ダノンエンブレム,荻野極,452(-12),7.2,0.12195121951219513
202605020408,6,ウインルピナス,△長浜,450(+6),18.0,0.05263157894736842
202605020408,7,ホークマン,★谷原,492(-2),20.4,0.04672897196261683
202605020408,10,ハリウッドパーク,団野,510(-2),32.1,0.030211480362537763
202605020408,8,コンテネレッツア,大野,480(-4),39.7,0.02457002457002457
202605020408,9,ダノンブギ,横山和,470(-4),131.5,0.007547169811320755
202605020409,1,馬名,騎手,"馬体重
(増減)",5.0,0.16666666666666666
202605020409,2,スパークリシャール,横山和,486(-2),5.3,0.15873015873015872
202605020409,3,マルチャン,小崎,488(+12),5.5,0.15384615384615385
